pmid,processed_title,processed_abstract
35871712,oral antiviral treatment for covid19 opportunity and challenge,the use of antiviral covid19 medication can successfully inhibit sarscov2 replication and prevent disease progression to a more severe form however the timing of antiviral treatment play a crucial role in this regard oral antiviral drug provide an opportunity to manage sarscov2 infection without a need for hospital admission easing the general burden that covid19 can have on the healthcare system this review paper i present the potential pharmaceutical antiviral target including various hostbased target and viralbased target ii characterizes the firstgeneration antisarscov2 oral drug nirmatrelvirritonavir and molnupiravir iii summarizes the clinical progress of other oral antiviral for use in covid19 iv discusses ethical issue in such clinical trial and v present challenge associated with the use of oral antiviral in clinical practice oral covid19 antiviral represent a part of the strategy to adapt to longterm coexistence with sarscov2 in a manner that prevents healthcare from being overwhelmed it is pivotal to ensure equal and fair global access to the currently available oral antiviral and those authorized in the future
35818655,covid19 pandemictoendemic transition in indonesia what doe the future hold,since first reported in december 2019 sars2 coronavirus sarscov2 infection ha become a worldclass pandemic overwhelming every aspect of the global system globally 526 billion confirmed case with 63 billion death case were reported by world health organization who by 31 may 2022 in that period indonesia ha reported 6 billion confirmed case with a case fatality rate reaching 258 the number of new weekly case and new weekly death have continued the declining trend observed since it peak in january 2022 ie 3 decrease of new weekly case and 11 decrease of new weekly death a compared to the previous week in response to the current epidemiology improvement country including indonesia have relaxed some regulation on covid19 a the preparation for pandemictoendemic transitionendemic is not equal to harmless commonly endemic is falsely interpreted a the end of covid19 bringing to a false complacency endemic label on an infectious disease such a malaria hiv infection tuberculosis in certain region of the world mean the overall rate of infection are static neither rising nor falling endemic label defines nothing about time duration to reach disease end or how many population will still be susceptible to the disease therefore transition for pandemictoendemic of covid19 could not simply translated into the end of either public and health service awareness or research on covid19 it then should add new emerging perspective on covid19 research a wa mandated by who one example of which is evidencebased strategy for infection prevention control and personal protective equipment for infection control deescalation in relation to covid19 pandemic scaling backin the spirit of nurturing research and publication in this transition for pandemictoendemic era the indonesian journal of internal medicine published various covid19 associatedoriginal article systematic review and case series across various covid19 condition atici et al and tunjungputri et al report article on factor and treatment that is associated with higher covid19 survival corticosteroid interleukin6 inhibitor and anticoagulant administered to the proper subset of covid19 population are several beneficial treatment among limited evidencebased proven treatment available today these supportive treatment whenever indicated at the proper time should be considered in managing every covid19 patient in addition high antibiotic use in covid19 patient despite low secondary bacterial infection ha been widely reported chen et al report a similar situation in indonesia and should raise the awareness of antimicrobial resistance thread now and in the future together with proper diagnostic stewardship the simple predictor of secondary bacterial infection that have been concluded could potentially be used to reduce liberal antibiotic use while optimizing the use in indicated patient prabowo et al enriched our understanding on usage of telemedicine to monitor post covid19 condition in indonesian populationshigh quality research ha and will again save the livelihood of people across the world while future pandemic could not be completely prevented the research infrastructure that have built during last 2 year could be used a a strong modality to be better prepared and coordinated in future outbreak pandemic response by detecting and preventing the emerging disease at their very early stage waste in covid19 research and multiple covid19 associated research article retraction should caution researcher a evidenceproducer and clinician a evidenceuser in prioritizing the scientific inquiry and questioning individual conflict of interest insightful article addressing the multitude aspect of the covid19 pandemictoendemic transition related topic are still needed in the future
37287200,determinant factor of mortality in preelderly and elderly patient with covid19 in jakarta indonesia,objective this study aimed to identify risk factor associated with coronavirus disease 2019 covid19 mortality in preelderly and elderly individual in jakarta indonesia method we employed a casecontrol study design utilizing secondary data from the epidemiology surveillance immunization prevention and disease control section of the dki jakarta provincial health office collected from december 2020 to january 2021 the study included 188 case and an equal number of control case were covid19 patient confirmed to have died a reported by hospital and community and subsequently verified by healthcare worker control subject were patient who completed a 14day isolation period and had been officially declared recovered by healthcare professional the dependent variable wa the mortality of covid19 patient in the january 2021 period the independent variable consisted of demographic data age and sex clinical symptom cough runny nose anosmia diarrhea headache abdominal pain muscle pain and nauseavomiting and comorbidities hypertension heart disease and diabetes multivariate analysis wa conducted using multiple logistic regression result the multiple logistic regression analysis revealed several factor associated with covid19 fatality in jakarta age of 60 year or older odds ratio or 484 95 ci 300 to 780 male or 238 95 ci 241 to 368 dyspnea or 393 95 ci 204 to 755 anosmia or 013 95 ci 004 to 046 and heart disease or 438 95 ci 104 to 1846 conclusion the control and prevention of covid19 among elderly individual require particular vigilance when a covid19 case is detected within this demographic prompt treatment and medication administration are crucial to mitigate the presenting symptom
34613879,lesson learned from covid19 vaccination in indonesia experience challenge and opportunity,the development of safe and effective covid19 vaccine a well a their delivery to people arm are the best hope for ending the covid19 pandemic however the implementation of vaccination varies greatly across country with the developing country lagging behind this study investigates indonesia vaccination experience challenge and acceleration over the course of implementation period this study provides simulation to estimate the vaccination rate using timeseries forecasting machine learning we use administrative data and survey result in our analysis our finding suggest limited vaccine availability had caused lowcoverage vaccination implementation in the early stage of vaccination implementation period however following the increased availability of vaccine the vaccination rate accelerates up to 600 time the government of indonesia utilized strategic public place public and private office and engaging private sector in the phase two implementation to accelerate the vaccination implementation indonesia might reach 631 million individual vaccinated at the end of march 2022 or 35 of the targeted population with up to april 2021 vaccination rate to accelerate government introduced a number of new strategy including doortodoor persuasion through neighborhood association rt educating individual and providing transportation from their home to the vaccination facility we expect new strategy could further improve vaccination speed by around 14 million to 35 million individual per day
33809128,covid19 impact on sdgs and the fiscal measure case of indonesia,the implication of the ongoing covid19 pandemic have stretched far beyond human health and wellbeing causing serious setback for the achievement of the sustainable development goal sdgs although government worldwide have implemented different fiscal stimulus measure to mitigate the implication of covid19 it is important to develop a precise understanding of their focus area to ensure if the progress of sdgs is on track for a specific case of indonesia this study establishes a thorough understanding of the covid19 implication on sdgs and it fiscal stimulus package through a literature review and semiformal interview with the core stakeholder in indonesia the study result highlighted that covid19 ha varyingly affected the progress of all sdgs in indonesia amongst the four pillar of sustainable development in indonesia the sdgs on the social and economic development pillar are stated to be the most impacted a for the fiscal stimulus it is perceived that it can help maintain the sdgs attainment progress to a certain extent although there are several concern on it implementation deriving lesson from the conducted research the study put forward key suggestion for the effective implementation of sdgs in the postcovid19 era
37915162,monoclonal antibody for covid19 treatment is it an option in indonesia,more than three year after coronavirus disease 2019 covid19 an infectious disease caused by the severe acute respiratory syndrome coronavirus 2 sarscov2 wa declared pandemic by world health organization report of covid19 hospitalization and death have been decreasing even though covid19 a global health emergency ha been declared end research in finding and evaluating modality that can decrease severity and mortality from covid19 infection are still on goinguntil now there have been more than 380000 publication in pubmed with search term covid 19 excessive inflammatory activation is an important part of covid19 pathogenesis which can be caused by interaction of the virus with the host and modulation of host immune response2 better understanding on covid19 pathogenesis could improve the strategy to manage covid19 infection monoclonal antibody is one treatment modality that can be used to target the virus itself or modulate dysregulated immune response in covid19 monoclonal antibody mabs can halt progression of covid19 in highrisk patient however considering the limited production and high cost is this treatment modality an option in indonesiamany thing have been learned from this pandemic and can be a lesson for preparing the next pandemic or other emerging disease various therapeutic development to treat covid19 have been studied for hospitalized patient and outpatient setting one of which is the use of variety monoclonal antibody that showed overall moderate efficacy in decreasing severity and mortality from covid19 infection and also good safety unfortunately besides variable efficacy across variant the cost for monoclonal antibody mabs are still high which make the access for this treatment option for managing covid19 might be limited in low to middle income country feasibility and economical sustainability of mabs against sarscov2 seem to be optimal in localized epidemic or small outbreak
36016993,clinical characteristic and outcome of hospitalized covid19 patient with diabetes mellitus in east java indonesia a crosssectional study,introduction diabetes mellitus ha been perceived a the worsening factor for coronavirus disease 2019 covid19 where diabetes mellitus patient with preexisting inflammatory condition could develop acute respiratory disease syndrome a well a multiorgan dysfunction managing diabetes mellitus amidst severe acute respiratory syndrome coronavirus 2 sarscov2 infection is also a matter of concern a several antidiabetic therapy could affect the progression of covid19 this study aimed to provide the clinical characteristic and outcome of patient with both covid19 and diabetes mellitus receiving blood glucose lowering therapy and covid19 symptomatic treatment method this retrospective study wa performed on 260 medical record of patient hospitalized between may 2020 to february 2021 in east java indonesia patient were confirmed covid19 positive based on the result from real time polymerase chain reaction rtpcr using nasal swab sample collected on hospital admission data included were demographic characteristic covid19 symptom severity of covid19 comorbidities other than diabetes mellitus fasting blood glucose fbg and 2hours postprandial blood glucose 2hpbg and outcome result most of the patient had age range of 4160 year old 761 with more than a half of the subject 60 were obese patient with uncontrolled diabetes were distributed evenly among the covid19 severity 743 in asymptomatic group 736 in mild group and 741 in moderate group there were reduction in fbg and 2hpbg level measured before 210758138 and 271191007 mgdl respectively and after the treatment 18103689 and 222018696 mgdl respectively all patient received multivitamin and symptomatic treatment for covid19 oral antidiabetic drug 576 and insulin 288 were administered to lower the blood glucose level of the patient a many a 969 patient survived while 31 died conclusion covid19 could affect the blood glucose level suggesting the importance of antihyperglycemic therapy among patient with both covid19 and diabetes mellitus
36231586,covid19 vaccination willingness in four asian country a comparative study including thailand indonesia the philippine and vietnam,globally 67 of the population ha received at least one covid19 vaccine dose but coverage varies across country this study aimed to compare people willingness to receive covid19 vaccination across thailand indonesia philippine and vietnam where vaccination intention tends to be high to determine factor associated with willingness and to obtain suggestion for developing strategy we conducted a secondary data analysis of the japan international cooperation agency survey building resilience covid19 impact and response in urban areascase of southeast asia including1842 unvaccinated participant from thailand n 461 indonesia n 246 the philippine n 609 and vietnam n 526 vaccination willingness wa high in all country 696 but the social and psychological factor motivating people to undergo vaccination differed among these country the highest vaccination willingness wa in the philippine followed by vietnam and indonesia whereas the lowest vaccination willingness wa in thailand vaccination willingness wa affected by not only sociodemographic attribute but also risk perception and belief which in turn were shaped by social factor such a infection trend and vaccine policy to achieve effective vaccination promotion program a system allowing the flexible modification of promotion method in response to social condition must be established
36001241,sarscov2 persistence and infectivity in covid19 corps a systematic review,the persistence and infectivity of sarscov2 in different postmortem covid19 specimen remain unclear despite numerous published study this information is essential to improve corps management related to clinical biosafety and viral transmission in medical staff and the public community we aim to understand sarscov2 persistence and infectivity in covid19 corps we conducted a systematic review according to preferred reporting item for systematic review and metaanalysis prisma protocol a systematic literature search wa performed in pubmed science direct scopus and google scholar database using specific keywords we critically reviewed the collected study and selected the article that met the criterion we included 33 scientific paper that involved 491 covid19 corps the persistence rate and maximum postmortem interval pmi range of the sarscov2 finding were reported in the lung 138155 890 4 month followed by the vitreous humor 737 189 3 month nasopharynxoropharynx 156248 629 41 day abdominal organ 67110 609 17 day skin 1424 583 17 day brain 1431 452 17 day bone marrow 22 100 12 day heart 3169 449 6 day muscle tissue 983 108 6 day trachea 920 450 5 day and perioral tissue 2124 875 35 day sarscov2 infectivity rate in viral culture study were detected in the lung 915 60 trachea 24 50 oropharynx 14 25 and perioral 14 25 at a maximum pmi range of 17 day the sarscov2 persists in the human body month after death and should be infectious for week this data should be helpful for postmortem covid19 management and viral transmission preventive strategy
37286803,comparing of covid19 response framework in the uk usa and indonesia what can we learn from the psychosocial factor,it is possible to identify sociodemographic and psychological factor for preventing strategy covid19 research on the impact of covid19 predominantly focus on clinical and demographic factor but ignores psychosocial factor psychosocial factor wa shaped by the pandemic response include public perception and attitude to the crisis support effective government communication and the socioeconomic impact experienced understanding psychosocial factor is critical for effective planning for mental health service communication and coping with the psychological impact of the pandemic therefore this study recommends considering psychosocial factor to design effective prevention strategy from the uk usa and indonesian response framework and facilitate efficient management of the pandemic
34716601,study on awareness of covid19 and compliance with social distancing during covid19 pandemic in indonesia,public compliance with social distancing policy is necessary to slow down the spread of coronavirus disease 2019 covid19 one of the factor that contribute to compliance with social distancing policy is awareness of covid19 this study aimed to examine the relationship between awareness of covid19 and compliance with social distancing policy the study used an online survey through google form to 404 respondent aged 1863 year the data were collected by using awareness on the covid19 scale and compliance with the social distancing scale the data were analyzed using the spearman correlation and kruskalwallis followed by mannwhitney u with bonferroni correction the awareness of covid19 wa significantly and positively associated with compliance with social distancing order based on demographic variable found that the awareness wa significantly higher in postgraduate the awareness of covid19 wa also significantly higher in working participant the compliance with social distancing order wa found higher in woman the study primary result is that the awareness of covid19 positively correlate with public compliance on social distancing order in particular there is a need to provide mean and intervention to raise public awareness of this challenging situation
36174076,strengthening government response to covid19 in indonesia a modified delphi study of medical and health academic,the indonesian government ha issued various policy to control covid19 however covid19 new case continued to increase and there remain uncertainty a to the future trajectory we aimed to investigate how medical and health academic view the indonesian government handling of covid19 and which area of health system need to be prioritized to improve the government response to covid19 we conducted a modified delphi study adapting the covid19 assessment scorecard covidscore a the measurement criterion we invited medical and health academic from ten university across indonesia to take part in the tworound delphi study in the first round participant were presented with 20 statement of covidscore and asked to rate their agreement with each statement using a fivepoint likert scale all participant who completed the first cycle were invited to participate in the second cycle they had the opportunity to revise their answer based on the previous cycle result and ranked a list of action to improve government response we achieved a moderate consensus level for five statement a low consensus level for 13 statement and no consensus for two statement the prioritization suggested that top priority for improving the government response to covid19 in indonesia encompass 1 strengthening capacity to ensure consistent credible and targeted communication while adopting a more inclusive and empathic communication style to address public concern 2 ensuring universal access to reliable covid19 testing by expanding lab infrastructure facilitating operational readiness and scaling up implementation of proven alternativecomplementary test to rtpcr and 3 boosting contact tracing implementation capacity and facilitating contact tracing for all positive case involving key stakeholder in further development of the existing contact tracing system ie pedulilindungi a well a it evaluation and quality assurance ultimately our study highlight the importance of strengthening health system function during the pandemic and improving health system resilience for dealing with future public health emergency
32991230,willingnesstopay for a covid19 vaccine and it associated determinant in indonesia,how country particularly low and middleincome economy should pay the coronavirus disease 2019 covid19 vaccine is an important and understudied issue we undertook an online survey to measure the willingnesstopay wtp for a covid19 vaccine and it determinant in indonesia the wtp wa assessed using a simple dichotomous contingent valuation approach and a linear regression model wa used to assess it associated determinant there were 1359 respondent who completed the survey in total 783 1065 were willing to pay for the covid19 vaccine with a mean and median wtp of u 5720 95ci u 5456 u 5985 and u 3094 95ci u 3094 u 3094 respectively being a healthcare worker having a high income and having high perceived risk were associated with higher wtp these finding suggest that the wtp for a covid19 vaccine is relatively high in indonesia this wtp information can be used to construct a payment model for a covid19 vaccine in the country nevertheless to attain higher vaccine coverage it may be necessary to partially subsidize the vaccine for those who are less wealthy and to design health promotion material to increase the perceived risk for covid19 in the country
38613243,policy and cultural belief community perception about covid19 vaccine hesitancy in indonesia,objective vaccine hesitancy is a global concern and a significant threat to covid19 vaccination program this study aimed to explore vaccine hesitancy from the perspective of the indonesian community related to policy and cultural belief design a descriptive qualitative approach wa utilized in this study sample twenty participant were recruited from various setting to ensure the representation of experience in different context in indonesia measurement audiorecorded semistructured individual indepth interview were carried out content analysis wa performed to identify the main key theme result twenty participant were recruited from various region of java island indonesia the participant revealed hesitancy about the covid19 vaccine including the theme of mistrust controversy and the culture and belief of the community conclusion this study highlight covid19 vaccine hesitancy in indonesia which may have implication for the community perception and belief regarding the uptake of the covid19 vaccine the trust issue remains a major challenge to convincing the community to accept the vaccine at the grassroots level targeted education and communication strategy are essential in addressing trust issue surrounding covid19 vaccine among critical stakeholder and religious leader in indonesia public health nursing play a crucial role in fostering community acceptance and ensuring the success of vaccination program
34541963,the impact of covid19 lockdown on diabetes complication and diabetes management in people with diabetes in indonesia,aim a the country with the seventh largest number of people with diabetes pwd in the world the coronavirus disease 2019 covid19 pandemic and the large social scale restriction lssr policy taken by the indonesian government to reduce the number of covid19 transmission is estimated to interfere diabetes management and will increase the incidence of diabetes complication this study aim to determine the difficulty of diabetes management and it impact on diabetes morbidity during the covid19 pandemic in indonesia method this study is a crosssectional study using a national scale web survey this research wa conducted in indonesia enrolling 1124 pwd aged 18 year or older diabetes complication are defined a selfassessed incidence of hypoglycemia or diabetic foot ulcer dfu or hospital admission experienced by pwd in indonesia during the covid19 pandemic the correlation between diabetes management difficulty and diabetesrelated complication wa measured using a modified cox regression test result diabetes management difficulty were experienced by 698 of pwd in indonesia the difficulty include attending diabetes consultation 301 access to diabetes medication 124 checking blood glucose level 95 controlling diet 238 and performing regular exercise 365 diabetesrelated complication occurred in 246 of subject those who had diabetes management difficulty during the covid19 pandemic are prone to have diabetes complication by 14 time greater pr 141 95 ci 109183 than those who did not conclusion the covid19 pandemic and lssr have impact on diabetes management and diabetesrelated complication a assessed by pwd in indonesia
37707715,from archipelago to pandemic battleground unveiling indonesia covid19 crisis,the coronavirus disease 2019 covid19 pandemic ha posed unprecedented challenge to country worldwide including indonesia with it unique archipelagic geography consisting of more than 17000 thousand island indonesia face unique complexity in managing the spread of the virus based on existing literature this review article elaborates on key issue that have shaped indonesia covid19 response the article begin by examining the early stage of the covid19 pandemic in indonesia along with the implementation of various preventive measure and the impact of the virus on public health this article examines how indonesia socioeconomic factor have generally influenced it healthcare system and further delf into the covid19 response strategy implemented by the indonesian government and public health authority a well a overall crisis preparedness it discusses the action taken to control the spread of the virus including testing strategy and vaccination effort the difficulty encountered in implementing these measure are presented in conclusion this review article provides a comprehensive understanding of the covid19 crisis in indonesia covering fact on multiple dimension ranging from the timeline of the pandemic to vaccination effort epidemiology socioeconomic implication testing strategy mobility pattern public holiday the impact of working from home and the utilization of complementary and alternative medicine in addition to the standard of care for covid19 the insight gained from this article can complement future strategy for pandemic management and response in indonesia and other country facing similar challenge
35061848,knowledge attitude and practice related to the covid19 pandemic among undergraduate medical student in indonesia a nationwide crosssectional study,introduction the potential role of medical student in raising awareness during public health emergency ha been acknowledged to further explore their potential a public educator and role model for the community during the coronavirus disease 2019 covid19 pandemic this study aim to assess the knowledge attitude and practice of these student toward covid19 method an online crosssectional survey wa conducted among undergraduate medical student in indonesia sociodemographics characteristic social interaction history informationseeking behavior a well a knowledge attitude and practice toward covid19 were collected through a selfreported questionnaire a pvalue of 005 indicated statistical significance result out of 4870 respondent 649 had positive attitude and 515 had positive practice toward covid19 while only 298 had adequate knowledge knowledge wa slightly positively correlated with attitude and practice rho 0074 and rho 0054 respectively both p0001 while attitude wa weakly correlated with practice rho 0234 p0001 several factor including age sex place of residence institution type academic level family income history of chronic illness prior volunteering experience and perceptual awareness on covid19 were significantly associated with either knowledge attitude andor practice toward covid19 furthermore health institution and the government press release a well a health expert opinion were deemed a the most reliable source of covid19related informationyet trivially none of these source were associated with knowledge attitude and practice in the study population conclusion many undergraduate medical student in indonesia had positive attitude and practice against covid19 yet only a few had adequate knowledge this warrant further intervention to keep them updated with covid19 evidence to maximize their potential in raising public awareness on covid19
35341058,the dynamic of circulating sarscov2 lineage in bogor and surrounding area reflect variant shifting during the first and second wave of covid19 in indonesia,background indonesia is one of the southeast asian country with high case number of covid19 with up to 42 million confirmed case by 29 october 2021 understanding the genome of sarscov2 is crucial for delivering public health intervention a certain variant may have different attribute that can potentially affect their transmissibility a well a the performance of diagnostics vaccine and therapeutic objective we aimed to investigate the dynamic of circulating sarscov2 variant over a 15month period in bogor and it surrounding area in correlation with the first and second wave of covid19 in indonesia method nasopharyngeal and oropharyngeal swab sample collected from suspected patient from bogor jakarta and tangerang were confirmed for sarscov2 infection with rtpcr rna sample of those confirmed patient were subjected to whole genome sequencing using the artic network protocol and sequencer platform from oxford nanopore technology ont result we successfully identified 16 lineage and six clade out of 202 sample male n 116 female n 86 genome analysis revealed that indonesian lineage b14662 dominated during the first wave n 48 238 while delta variant ay23 ay24 ay39 ay42 ay43 dan ay79 were dominant during the second wave n 53 262 following the highest number of confirmed case in indonesia in the spike protein gene s_d614g and s_p681r change were dominant in both b14662 and delta variant while n439k wa only observed in b14662 n 44 and b1470 n 1 additionally the s_t19r s_e156g s_f157del s_r158del s_l452r s_t478k s_d950n and s_v1264l change were only detected in delta variant consistent with those change being characteristic of delta variant in general conclusion we demonstrated a shift in sarscov2 variant from the first wave of covid19 to delta variant in the second wave during which the number of confirmed case surpassed those in the first wave of covid19 pandemic higher proportion of unique mutation detected in delta variant compared to the first wave variant indicated potential mutational effect on viral transmissibility that correlated with a higher incidence of confirmed case genomic surveillance of circulating variant especially those with higher transmissibility should be continuously conducted to rapidly inform decision making and support outbreak preparedness prevention and public health response
36755476,evaluation of healthrelated quality of life and mental health in 729 medical student in indonesia during the covid19 pandemic,background the coronavirus disease 2019 covid19 pandemic ha impacted the healthrelated quality of life hrqol and mental health worldwide however it impact on medical student in indonesia ha not been well documented this study aimed to evaluate hrqol and mental health in 729 indonesian medical student during the covid19 pandemic material and method we conducted a crosssectional study from 31 august to 30 september 2021 the study instrument wa an online questionnaire that wa distributed via social medium platform the 12item short form version 2 sf12v2 wa used to measure hrqol and the 21item depression anxiety and stress scale dass21 wa used to measure mental health result from 729 indonesian medical student included in the analysis 373 had impaired physical component and 669 had impaired mental component of hrqol the determinant were medical student island of residence history of hospitalization and family member hospitalization and death due to covid19 concerning mental health the prevalence of reported symptom of depression anxiety and stress were 454 652 and 609 respectively sex study method grade previous covid19 disease severity comorbidities previous learning experience and history of family isolation were identified a the determinant of mental health conclusion this study highlight the adverse effect of covid19 on hrqol and mental health in indonesian medical student the result identified key association including sarscov2 infection and comorbidities experienced by the student the health of their family including grief following bereavement and the effect of social isolation during the pandemic
35332616,value and preference of the general population in indonesia in relation to rapid covid19 antigen selftests a crosssectional survey,objective home diagnostics are essential to assist member of the general population become active agent of case detection in indonesia a country with an overburdened healthcare system individual could use rapid sarscov2 antigen test to selfdetect covid19 to assess the general population value and attitude towards sarscov2 selftesting a survey wa conducted in mid2021 in jakarta and the province of banten and north sulawesi method this wa a quantitative survey that approached respondent in 600 randomly selected streetpoints in the three study geography in julyaugust 2021 a 35item questionnaire wa used to collect data on key variable such a likelihood to use a sarscov2 selftest willingness to pay for a selftest device and likely action following a positive selftest result bivariate and multivariate regression analysis were performed result of 630 respondent 318 were female 1553 knew about covid19 selftesting while 6270 agreed with the idea of people being able to selftest at home unassisted for covid19 if selftests were available in indonesia 60 of respondent would use them if they felt it necessary and would undertake regular selftesting for example weekly if recommended upon receiving a positive selftest result most respondent would communicate it 8603 request posttest counselling 8079 selfisolate 9746 andor warn their close contact 9048 conclusion the use of rapid sarscov2 antigen detection test for selftesting appears acceptable to a majority of the indonesian public to learn whether they have covid19 selftesting should be prioritised to complement to an overburdened healthcare system by helping the public asymptomatic individual included become agent of change in epidemiological surveillance of sarscov2 in their community
36584099,postcovid depression and it multiple factor doe favipiravir have a protective effect a longitudinal study of indonesia covid19 patient,background coronavirus disease covid19 not only ha a longterm effect on it survivor it also affect their quality of life including inducing depression a a possible manifestation of central nervous system disruption favipiravir show promising efficacy a an antiviral drug for the treatment of covid19 however it effect on the sequela of covid19 ha not been explored therefore this study aim to assess the impact of favipiravir and address the factor associated with postcovid depression in indonesia method this cohort study conducted a postcovid19 survey on indonesian patient who were diagnosed by using realtime polymerase chain reaction rtpcr and antigen test until january 2022 an online questionnaire wa distributed to obtain information on demographic comorbidities health behavior symptom and treatment the propensity technique wa used to allocate the participant into the favipiravir and nonrecipient group 11 the patient health questionnaire9 phq9 wa used for outcome measurement the cohort wa followed up biweekly for 60 day after onsetdiagnosis to determine the occurrence of depression cox regression analysis with an adjusted odds ratio and 95 confidence interval wa used to estimate the effect of favipiravir on postcovid19 depression result the data included the information of 712 participant of whom 1854 had depression within 60 day after onsetdiagnosis depression wa higher in the nonrecipient group 2106 than in the favipiravir group 1601 after adjustment by other factor favipiravir prescription wa found to be associated with depression aor 0488 95 ci 03390701 p 0001 in accordance with the phq9 subset favipiravir exerted a significant protective effect against depressive mood and loss of interest however patient living alone were prone to experiencing loss of interest aor 2253 95 ci 13293818 p 0003 conclusion the data obtained in this preliminary survey suggested that favipiravir may be useful for preventing postcovid depression however further study is needed moreover the provision of mental health support particularly to those who live alone must be ensured trial registration registry nct05060562
36777784,understanding covid19 vaccine hesitancy a crosssectional study in malang district indonesia,introduction vaccine hesitancy could undermine effort to reduce incidence of coronavirus disease 2019 covid19 understanding covid19 vaccine hesitancy is crucial to tailoring strategy to increase vaccination acceptance this study aim to investigate the prevalence of and the reason for covid19 vaccine hesitancy in malang district indonesia method data come from a crosssectional study among individual aged 1785 year old n 3014 multivariate ordered logistic regression wa used to identify factor associated with postponing or refusing covid19 vaccine the oxford covid19 vaccine hesitancy scale wa used to measure vaccine hesitancy a wide range of reason for hesitancy including coronavirus vaccine confidence and complacency vaccination knowledge trust and attitude in health worker and health provider coronavirus conspiracy anger reaction and need for chaos populist view lifestyle and religious influence wa examined result and discussion the result show that 602 of the respondent were hesitant to receive the covid19 vaccine low confidence and complacency belief about the vaccine or 1229 95 ci 11951264 and more general source of mistrust within the community particularly regarding health provider or 1064 95 ci 10261102 and vaccine developer or 1054 95 ci 10271082 are associated with higher level of covid19 vaccine hesitancy vaccine hesitancy is also associated with anger reaction or 1019 95 ci 09981040 need for chaos or 1044 95 ci 10221067 and populist view or 1028 95 ci 1001056 the finding were adjusted for sociodemographic factor including age sex education marital status working status type of family household income religious belief and residency the result suggest the need for an effective health promotion program to improve community knowledge of the covid19 vaccine while effective strategy to tackle infodemics are needed to address hesitancy during a new vaccine introduction program
37479557,path analysis of covid19 vaccine adherence among adolescent across indonesia in the malukupapua island eastern indonesia and on java island,background covid19 incidence in indonesia wa high among adolescent but vaccine acceptance remains low the unequal geographical distribution of the health workforce and health facility in indonesia including a lower number of health worker and facility in malukupapua resulted in a low rate of vaccine acceptance knowledge attitude belief in the vaccine comorbidity congenital status are related to vaccine adherence but mediation analysis of factor remains lacking we aimed to analyze path analysis of knowledge congenital comorbidity belief and attitude to covid19 vaccine adherence among adolescent in indonesia malukupapua island and java island method a nationwide crosssectional study wa undertaken among 7604 adolescent a path analysis to investigate mediating effect between variable combined with bootstrapping wa utilized to determine statistical significance result knowledge congenital status comorbidity belief and attitude were significantly positively associated with covid19 vaccine adherence among adolescent in malukupapua island p 001 n 4761 java island p 001 n 1573 and indonesia p 005 n 7604 congenital status belief and attitude negatively mediated the relationship between knowledge of and adherence to covid19 vaccine p 001 in indonesia and among the subgroup on malukupapua island p 001 but a positive mediation p 004 in our subgroup analysis of java island comorbidity status belief and attitude negatively mediated relationship between knowledge and adherence to covid19 vaccine in indonesia p 001 and malukupapua p 000 but no mediation role wa found in java island p 058 conclusion comorbidity congenital illness status belief in and attitude to covid19 vaccine negatively mediated the relationship between knowledge of and adherence to covid19 vaccine among adolescent in indonesia and our subgroup on malukupapua island but not on java island practical implication massive improvement in healthcare facility equality play an important role in indonesia gaining covid19 vaccine adherence
